feature_dim,lda_components,classifier,seed,accuracy,projection_sec,lda_fit_sec,lda_transform_train_sec,lda_transform_test_sec,classifier_train_sec,evaluation_sec,total_runtime_sec
256,40,logistic,1,0.386,0.1117632079985924,0.4881079589831643,0.015097916999366134,0.007391249993816018,3.3105107090086676,0.008847624994814396,3.943108208011836
256,40,sgd,1,0.2592,0.1117632079985924,0.384887374995742,0.013641000026836991,0.0075587499886751175,0.7850485839881003,0.0025224999990314245,1.3061210419982672
256,80,logistic,1,0.4179,0.1117632079985924,0.367869834008161,0.013674792018719018,0.003383917035534978,3.975328291009646,0.008163042017258704,4.481257208040915
256,80,sgd,1,0.3934,0.1117632079985924,0.3745406669913791,0.013216458028182387,0.005754083045758307,1.2329687920282595,0.002757833048235625,1.741398832993582
256,99,logistic,1,0.4242,0.1117632079985924,0.3704321249970235,0.013549249968491495,0.003719041997101158,4.099170459026936,0.007708083023317158,4.607588375045452
256,99,sgd,1,0.4014,0.1117632079985924,0.387572291016113,0.013809291005600244,0.010517749993596226,1.5402269580517896,0.002752874977886677,2.0672219999833032
512,2,logistic,2,0.0846,0.0,0.83872054197127,0.027171541005373,0.006791250023525208,2.40649108402431,0.00642483402043581,3.2860260830493644
512,2,sgd,2,0.0556,0.0,0.7874482090119272,0.04094420897308737,0.008436499978415668,0.46741041698260233,0.0022964999661780894,1.3068740830058232
512,5,logistic,2,0.1652,0.0,0.8651598339783959,0.027611541969235986,0.005711834004614502,3.0802605420467444,0.010258790978696197,3.989957165962551
512,5,sgd,2,0.1171,0.0,0.9468893749872223,0.027101583022158593,0.015334541036281735,0.4732554579968564,0.00484029104700312,1.4691672909539193
512,10,logistic,2,0.2411,0.0,0.7812524170149118,0.02634974999818951,0.0055915419943630695,3.4963690420263447,0.007746041985228658,4.318467875011265
512,10,sgd,2,0.1588,0.0,0.8794574170024134,0.027286208991426975,0.011528042028658092,0.5726943329791538,0.0028228749870322645,1.4941678330069408
512,20,logistic,2,0.3211,0.0,0.7905456249718554,0.029842957970686257,0.0057705839863047,3.3318031250382774,0.005951832979917526,4.164422667003237
512,20,sgd,2,0.2164,0.0,0.8983554999576882,0.0278010829933919,0.012760457990225405,0.6378854159847833,0.0023637920385226607,1.5795607499894686
512,40,logistic,2,0.395,0.0,0.818400832999032,0.02932733396301046,0.005685083044227213,3.0559931669849902,0.009747541043907404,3.920235582976602
