method,components,seed,accuracy,reduction_fit_sec,reduction_transform_train_sec,reduction_transform_test_sec,classifier_train_sec,evaluation_sec,total_runtime_sec
pca,20,4,0.3097,0.5629962079692632,0.03339320799568668,0.038062917010392994,10.318871374998707,0.05401487502967939,11.00733858300373
pca,40,0,0.3661,0.3354333330062218,0.041742917033843696,0.05207491695182398,21.0542613749858,0.1924744170391932,21.675986959016882
pca,40,1,0.3661,1.3506326249917038,0.03360983403399587,0.11517016700236127,22.412727374990936,0.5146008330048062,24.426740834023803
pca,40,2,0.3661,4.859512124967296,0.04433249996509403,0.8537144170259126,18.982736208999995,0.1504454169771634,24.89074066793546
pca,40,3,0.3661,2.75585916696582,0.023246083001140505,0.731346125015989,14.710757249966264,0.044667292037047446,18.26587591698626
pca,40,4,0.3661,0.48351700004423037,0.03776504204142839,0.06326058297418058,22.64670845802175,0.4250109999557026,23.65626208303729
pca,80,0,0.4064,1.9601296659675427,0.031904084025882185,0.12441087502520531,26.22571195900673,0.10112545802257955,28.44328204204794
pca,80,1,0.4064,1.4372327500022948,0.052983166999183595,2.7996138750459068,25.371669624990318,0.1755892499932088,29.837088667030912
pca,80,2,0.4064,1.7865340830176137,0.0556247920030728,0.4484134580125101,24.505787417001557,0.12124095897888765,26.91760070901364
pca,80,3,0.4064,1.0514042919967324,0.04192395799327642,0.19837470795027912,25.925599084002897,0.07087458297610283,27.288176624919288
pca,80,4,0.4064,0.9932768330327235,0.052161125000566244,0.20421366702066734,23.814599542005453,0.05241437500808388,25.116665542067494
pca,99,0,0.4136,1.064064749982208,0.03687829204136506,0.18302912497892976,20.16203987499466,0.10205245797988027,21.548064499977045
pca,99,1,0.4136,0.9810275419731624,0.0343067089561373,0.1426002910011448,19.125088417029474,0.06272620800882578,20.345749166968744
pca,99,2,0.4136,0.6228004580480047,0.03980445797787979,0.07213549996959046,18.0290877079824,0.028374499990604818,18.79220262396848
pca,99,3,0.4136,0.2860286249779165,0.027470708009786904,0.03917204198660329,32.17825795803219,0.1915611670119688,32.722490500018466
pca,99,4,0.4136,1.0373496660031378,0.0650948749971576,0.09338208299595863,28.428894667013083,0.18064454197883606,29.805365832988173
rp,2,0,0.033,1.2893330000224523,0.207914124999661,0.21531808300642297,11.41063104197383,0.2644358330289833,13.387632083031349
rp,2,1,0.0326,1.6526935420115478,0.021190957981161773,0.10198099998524413,14.052545749989804,0.21035725000547245,16.03876849997323
rp,2,2,0.0365,2.0019905839581043,0.31252395804040134,0.17929237498901784,13.96618170797592,2.348103458993137,18.80809208395658
